well,"Elevation
 (Metrer)",lat,lon
W1,518,36.251453,44.082643
W2,380,36.24819,43.910736
W3,627,36.207817,44.139397
W4,433,36.128172,44.028271
W5,311,36.114882,43.794883
W6,422,36.096136,44.022078
W7,317,36.07923,43.949399
W8,315,36.076239,43.838362
W9,341,36.073222,43.88417
W10,640,36.05757,44.191777
W11,308,36.048399,43.817923
W12,293,36.041898,43.733967
W13,340,36.022505,43.923973
W14,303,36.005553,43.833997
W15,444,35.99346,44.110357
W16,423,35.981464,44.057626
W17,413,35.981325,44.040146
W18,350,35.972911,43.946396
W19,333,35.969709,43.887315
W20,402,35.958297,44.033139